timestamp_ms,lux,bus_V,current_mA_abs,power_mW,mse_scaled,decision
1774324541167,128.33,3.292,5.2,16.0,1.366455,ANOMALY
1774324544382,128.33,3.292,4.8,16.0,0.418495,NORMAL
1774324547595,127.5,3.292,5.2,16.0,1.369539,ANOMALY
1774324550810,126.67,3.292,5.0,16.0,0.10869,NORMAL
1774324554025,127.5,3.292,4.9,16.0,0.070912,NORMAL
1774324557233,120.0,3.292,5.1,16.0,0.564078,NORMAL
1774324560451,120.0,3.292,4.9,16.0,0.066861,NORMAL
1774324563667,119.17,3.292,4.9,16.0,0.065157,NORMAL
1774324566878,124.17,3.292,4.9,16.0,0.064114,NORMAL
1774324570094,127.5,3.292,4.8,16.0,0.415376,NORMAL
1774324573305,127.5,3.292,5.0,16.0,0.108767,NORMAL
1774324576518,580.0,3.292,4.7,16.0,3.462251,ANOMALY
1774324579737,726.67,3.292,4.9,16.0,2.701401,ANOMALY
1774324582948,127.5,3.292,5.2,16.0,1.369539,ANOMALY
1774324586165,124.17,3.292,4.8,16.0,0.403171,NORMAL
1774324589378,125.83,3.292,4.7,16.0,1.003816,NORMAL
1774324592593,125.83,3.292,5.0,16.0,0.108641,NORMAL
1774324595807,86.67,3.292,5.0,16.0,0.137789,NORMAL
1774324599022,89.17,3.296,0.1,0.0,500.119324,ANOMALY
1774324602235,86.67,3.292,5.1,16.0,0.565247,NORMAL
1774324605449,125.0,3.292,5.5,20.0,9.531287,ANOMALY
1774324608665,125.0,3.292,5.0,16.0,0.108618,NORMAL
1774324611877,99.17,3.292,5.1,16.0,0.568369,NORMAL
1774324615092,85.83,3.296,3.6,14.0,35.259861,ANOMALY
1774324618305,85.83,3.292,4.9,16.0,0.03755,NORMAL
1774324621520,85.0,3.292,5.0,16.0,0.13596,NORMAL
1774325245437,229.17,3.292,5.1,16.0,0.528659,NORMAL
1774325248650,229.17,3.292,4.8,16.0,0.687154,NORMAL
1774325251865,230.83,3.292,5.2,16.0,1.188582,ANOMALY
1774325255077,234.17,3.292,4.8,16.0,0.69689,NORMAL
1774325258293,300.83,3.292,5.2,16.0,1.273349,ANOMALY
1774325261507,303.33,3.288,5.1,16.0,3.935933,ANOMALY
1774325264721,304.17,3.292,5.1,16.0,0.592699,NORMAL
1774325267935,268.33,3.292,5.1,16.0,0.561208,NORMAL
1774325271149,275.83,3.292,4.8,16.0,0.802,NORMAL
1774325274362,302.5,3.292,5.0,16.0,0.315804,NORMAL
1774325277577,292.5,3.288,4.7,16.0,4.666668,ANOMALY
1774325280792,283.33,3.292,4.9,16.0,0.36067,NORMAL
1774325284006,254.17,3.292,4.9,16.0,0.265301,NORMAL
1774325287219,280.0,3.288,4.9,16.0,3.754097,ANOMALY
1774325290433,274.17,3.292,4.9,16.0,0.323672,NORMAL
1774325293653,273.33,3.292,4.6,16.0,2.95903,ANOMALY
1774325296863,251.67,3.292,4.9,16.0,0.268142,NORMAL
1774325300076,249.17,3.292,4.9,16.0,0.260521,NORMAL
1774325303290,254.17,3.292,4.8,16.0,0.73235,NORMAL
1774325306504,255.0,3.292,4.9,16.0,0.26777,NORMAL
1774325309718,254.17,3.292,4.8,16.0,0.73235,NORMAL
1774325312933,255.83,3.292,4.8,16.0,0.741265,NORMAL
1774325316147,255.83,3.292,4.8,16.0,0.741265,NORMAL
1774325319360,256.67,3.292,4.7,16.0,1.696112,ANOMALY
1774325322574,259.17,3.296,4.2,14.0,13.054986,ANOMALY
1774325325788,299.17,3.292,4.8,16.0,0.863305,NORMAL
1774325329002,300.83,3.292,5.0,16.0,0.301746,NORMAL
1774325332217,255.0,3.292,4.8,16.0,0.736794,NORMAL
1774325335429,264.17,3.292,5.2,16.0,1.193898,ANOMALY
1774325338645,257.5,3.292,4.9,16.0,0.281903,NORMAL
1774325341859,256.67,3.292,5.3,16.0,2.218031,ANOMALY
1774325345074,261.67,3.292,4.9,16.0,0.294199,NORMAL
1774325348288,275.0,3.292,5.0,16.0,0.243883,NORMAL
1774325351501,271.67,3.292,5.1,16.0,0.559783,NORMAL
1774325354715,282.5,3.292,5.0,16.0,0.245472,NORMAL
1774325357931,276.67,3.292,4.9,16.0,0.339142,NORMAL
1774325361144,276.67,3.292,4.9,16.0,0.339142,NORMAL
1774325364358,272.5,3.292,4.8,16.0,0.80121,NORMAL
1774325367572,274.17,3.292,4.9,16.0,0.323672,NORMAL
1774325370785,277.5,3.292,5.1,16.0,0.56065,NORMAL
1774325374000,279.17,3.292,4.9,16.0,0.346578,NORMAL
1774325377214,270.83,3.292,4.8,16.0,0.792247,NORMAL
1774325380429,276.67,3.296,0.2,0.0,483.82785,ANOMALY
1774325383642,267.5,3.296,0.3,0.0,466.311584,ANOMALY
1774325386856,265.0,3.296,0.2,0.0,483.726196,ANOMALY
1774325390071,264.17,3.296,0.3,0.0,466.283173,ANOMALY
1774325393285,282.5,3.296,0.2,0.0,483.880676,ANOMALY
1774325396498,288.33,3.3,0.2,0.0,490.39679,ANOMALY
1774325399713,244.17,3.292,4.8,16.0,0.692507,NORMAL
1774325402927,265.0,3.296,0.3,0.0,466.290253,ANOMALY
1776673555561,80.83,3.28,5.3,16.0,0.0012,NORMAL
1776673557600,72.5,3.28,5.0,16.0,0.0012,NORMAL
1776673560599,73.33,3.284,4.8,16.0,0.0012,NORMAL
1776673563606,70.83,3.28,5.0,16.0,0.0012,NORMAL
1776673566608,96.67,3.28,4.9,16.0,0.0012,NORMAL
1776673569614,95.83,3.28,5.2,16.0,0.0012,NORMAL
1776673572616,90.0,3.28,4.9,16.0,0.0012,NORMAL
1776673575619,90.0,3.28,5.2,16.0,0.0012,NORMAL
1776673578626,88.33,3.28,4.9,16.0,0.0012,NORMAL
1776673581626,88.33,3.28,4.9,16.0,0.0012,NORMAL
1776673584629,87.5,3.28,5.2,16.0,0.0012,NORMAL
1776673587631,135.83,3.28,5.1,16.0,0.0012,NORMAL
1776673590635,117.5,3.28,4.6,16.0,0.0012,NORMAL
1776673593641,102.5,3.28,5.0,16.0,0.0012,NORMAL
1776673596644,135.0,3.28,4.8,16.0,0.0012,NORMAL
1776673599647,102.5,3.276,5.1,16.0,0.0012,NORMAL
1776673602650,99.17,3.276,5.2,16.0,0.0012,NORMAL
1776673605649,158.33,3.28,5.0,16.0,0.0012,NORMAL
1776673608657,172.5,3.28,4.9,16.0,0.0012,NORMAL
1776673611659,95.0,3.276,5.0,16.0,0.0012,NORMAL
1776673614660,95.0,3.28,5.3,16.0,0.0012,NORMAL
1776673617665,93.33,3.28,5.2,16.0,0.0012,NORMAL
1776673620669,96.67,3.28,5.2,16.0,0.0012,NORMAL
1776673623671,70.83,3.276,4.9,16.0,0.0012,NORMAL
1776673626672,94.17,3.28,4.9,16.0,0.0012,NORMAL
1776673629676,203.33,3.28,4.8,16.0,0.0012,NORMAL
1776673632681,209.17,3.28,5.0,16.0,0.0012,NORMAL
1776673635683,205.0,3.276,5.0,16.0,0.0012,NORMAL
1776673638687,210.0,3.276,5.1,16.0,0.0012,NORMAL
1776673641689,190.83,3.28,5.3,16.0,0.0012,NORMAL
1776673644694,95.0,3.28,4.9,16.0,0.0012,NORMAL
1776673647696,96.67,3.28,4.8,16.0,0.0012,NORMAL
1776673650699,85.83,3.28,5.0,16.0,0.0012,NORMAL
1776673653703,72.5,3.28,5.0,16.0,0.0012,NORMAL
1776673656698,83.33,3.28,5.0,16.0,0.0012,NORMAL
1776673659706,71.67,3.28,5.0,16.0,0.0012,NORMAL
1776673662709,73.33,3.28,5.2,16.0,0.0012,NORMAL
1776673665712,70.0,3.28,4.9,16.0,0.0012,NORMAL
1776673668718,73.33,3.276,5.3,16.0,0.0012,NORMAL
1776673671717,70.83,3.28,4.8,16.0,0.0012,NORMAL
1776673674721,70.83,3.28,5.0,16.0,0.0012,NORMAL
1776673677727,69.17,3.276,4.9,16.0,0.0012,NORMAL
1776673680724,70.0,3.28,4.9,16.0,0.0012,NORMAL
1776673683732,70.83,3.28,5.0,16.0,0.0012,NORMAL
1776673686735,72.5,3.28,4.8,16.0,0.0012,NORMAL
1776673689738,71.67,3.28,5.0,16.0,0.0012,NORMAL
1776673692740,74.17,3.28,5.0,16.0,0.0012,NORMAL
1776673695746,75.0,3.28,5.2,16.0,0.0012,NORMAL
1776673698743,105.0,3.28,4.9,16.0,0.0012,NORMAL
1776673701750,99.17,3.28,4.8,16.0,0.0012,NORMAL
1776673704754,92.5,3.28,4.9,16.0,0.0012,NORMAL
1776673707756,88.33,3.28,4.8,16.0,0.0012,NORMAL
1776673710762,96.67,3.276,4.9,16.0,0.0012,NORMAL
1776673713762,71.67,3.28,4.8,16.0,0.0012,NORMAL
1776673716765,97.5,3.28,5.0,16.0,0.0012,NORMAL
1776673719769,97.5,3.284,5.1,16.0,0.0012,NORMAL
1776673722772,98.33,3.28,4.9,16.0,0.0012,NORMAL
1776673725774,95.83,3.276,5.0,16.0,0.0012,NORMAL
1776673728777,97.5,3.28,5.0,16.0,0.0012,NORMAL
1776673731780,96.67,3.28,4.9,16.0,0.0012,NORMAL
1776673734786,75.0,3.28,4.9,16.0,0.0012,NORMAL
1776673737786,70.0,3.28,5.0,16.0,0.0012,NORMAL
1776673740790,70.83,3.28,4.9,16.0,0.0012,NORMAL
1776673743793,70.83,3.28,5.1,16.0,0.0012,NORMAL
1776673746796,94.17,3.28,5.0,16.0,0.0012,NORMAL
1776673749799,71.67,3.28,4.8,16.0,0.0012,NORMAL
1776673752802,65.0,3.28,5.0,16.0,0.0012,NORMAL
1776673755806,68.33,3.28,5.2,16.0,0.0012,NORMAL
1776673758810,66.67,3.28,5.0,16.0,0.0012,NORMAL
1776673761815,73.33,3.28,5.0,16.0,0.0012,NORMAL
1776673764816,72.5,3.28,5.0,16.0,0.0012,NORMAL
1776673767817,75.83,3.28,4.9,16.0,0.0012,NORMAL
1776673770820,74.17,3.28,5.0,16.0,0.0012,NORMAL
1776673773823,71.67,3.28,5.2,16.0,0.0012,NORMAL
1776673776825,70.83,3.28,5.0,16.0,0.0012,NORMAL
1776673779829,69.17,3.28,5.0,16.0,0.0012,NORMAL
1776673782833,73.33,3.28,5.0,16.0,0.0012,NORMAL
1776673785837,68.33,3.28,4.8,16.0,0.0012,NORMAL
1776673788842,67.5,3.28,5.1,16.0,0.0012,NORMAL
1776673791842,68.33,3.28,4.9,16.0,0.0012,NORMAL
1776673794843,67.5,3.28,5.3,16.0,0.0012,NORMAL
1776673797848,67.5,3.28,5.0,16.0,0.0012,NORMAL
1776673800851,65.0,3.28,5.0,16.0,0.0012,NORMAL
1776673803854,67.5,3.28,4.7,16.0,0.0012,NORMAL
1776673806857,66.67,3.28,5.0,16.0,0.0012,NORMAL
1776673809861,70.0,3.28,5.0,16.0,0.0012,NORMAL
1776674179240,95.0,3.28,4.9,16.0,0.0012,NORMAL
1776674181311,90.83,3.28,5.0,16.0,0.0012,NORMAL
1776674184315,102.5,3.28,5.2,16.0,0.0012,NORMAL
1776674187517,136.67,3.28,4.9,16.0,0.0456,ANOMALY
1776674190320,81.67,3.28,4.9,16.0,0.0012,NORMAL
1776674193525,174.17,3.28,4.9,16.0,0.0456,ANOMALY
1776674196326,92.5,3.28,5.0,16.0,0.0012,NORMAL
1776674199329,70.83,3.284,7.2,20.0,0.0012,NORMAL
1776674202333,75.0,3.288,5.0,16.0,0.0012,NORMAL
1776674205336,71.67,3.288,4.6,16.0,0.0012,NORMAL
